booking_id,user_id,shop_id,service_type,time_of_day,distance_km,rating_given
B00038,U0639,S085,Spa,Evening,14.5,4.1
B00039,U0709,S018,Coloring,Weekend,11.6,3.7
B00040,U0789,S063,Coloring,Afternoon,1.2,3.9
B00041,U0751,S039,Spa,Afternoon,2,4
B00042,U0957,S071,Haircut,Afternoon,14.3,2.6
B00043,U0058,S059,Manicure,Weekend,13.7,3.7
B00044,U0243,S082,Spa,Morning,5.4,5
B00045,U0421,S092,Haircut,Weekend,4.8,3.1
B00046,U0410,S002,Haircut,Afternoon,1.2,2.3
B00047,U0232,S068,Coloring,Afternoon,1.5,3.6
B00048,U0885,S007,Haircut,Afternoon,11.4,5
B00049,U0608,S016,Spa,Morning,14.7,4.5
B00050,U0277,S072,Coloring,Afternoon,6.1,4.2
B00051,U0451,S052,Coloring,Weekend,10.1,5
B00052,U0094,S025,Haircut,Afternoon,4.9,3.7
B00053,U0902,S061,Manicure,Afternoon,3.2,4.5
B00054,U0645,S097,Coloring,Morning,1.5,4.1
B00055,U0273,S029,Manicure,Afternoon,1.6,2.4
B00056,U0361,S072,Haircut,Weekend,8.4,3.7
B00057,U0176,S076,Manicure,Weekend,3.7,3.6
B00058,U0460,S075,Spa,Weekend,4.4,4.4
B00059,U0921,S069,Manicure,Evening,2,3.3
B00060,U0305,S029,Coloring,Evening,1.3,2.3
B00061,U0629,S014,Haircut,Morning,1.5,4.9
B00062,U0834,S059,Haircut,Evening,9.6,3.1
B00063,U0152,S067,Pedicure,Morning,5.4,3.8
B00064,U0775,S086,Pedicure,Evening,12.1,3.9
B00065,U0399,S043,Pedicure,Morning,5.6,2.9
B00066,U0481,S029,Coloring,Evening,13.2,2.7
B00067,U0132,S051,Spa,Afternoon,13.6,4.9
B00068,U0075,S088,Pedicure,Weekend,13.8,2.6
B00069,U0090,S050,Haircut,Morning,0.8,3.5
B00070,U0790,S029,Coloring,Evening,1.1,2.9
B00071,U0731,S028,Haircut,Morning,2.7,4.5
B00072,U0665,S034,Manicure,Afternoon,9.9,4.6
B00073,U0833,S090,Haircut,Evening,1.8,4.9
B00074,U0102,S054,Spa,Weekend,12.3,3.8
B00075,U0877,S074,Spa,Weekend,9.8,2.9
B00076,U0062,S023,Coloring,Morning,2,4.2
B00077,U0348,S098,Coloring,Afternoon,0.9,4
B00078,U0636,S038,Spa,Evening,1.7,3.6
B00079,U0058,S066,Manicure,Weekend,10.8,3.1
B00080,U0228,S022,Pedicure,Weekend,8.7,3
B00081,U0703,S088,Manicure,Morning,4.1,2.6
B00082,U0014,S007,Haircut,Afternoon,1.1,3.8
B00083,U0482,S030,Haircut,Afternoon,1.9,3.9
B00084,U0506,S082,Coloring,Weekend,2.4,4
B00085,U0038,S010,Coloring,Morning,5.8,3.3
B00086,U0551,S053,Manicure,Afternoon,12.8,4.7
B00087,U0887,S003,Coloring,Weekend,8.4,3.8
B00088,U0871,S075,Spa,Morning,1.3,3.7
B00089,U0462,S025,Haircut,Morning,14.3,3.9
B00090,U0905,S002,Haircut,Afternoon,10.9,3.6
B00091,U0810,S070,Spa,Evening,1.4,4.5
B00092,U0855,S056,Coloring,Morning,3,3.7
B00093,U0214,S009,Spa,Weekend,7.2,3.4
B00094,U0047,S077,Pedicure,Morning,2.9,4.7
B00095,U0676,S017,Haircut,Afternoon,1.3,3
B00096,U0258,S061,Manicure,Morning,0.8,4.3
B00097,U0205,S011,Coloring,Weekend,8.6,3
B00098,U0455,S073,Spa,Morning,9.1,2.9
B00099,U0866,S022,Coloring,Weekend,8.3,3.9
B00100,U0298,S084,Coloring,Weekend,10.2,3.1
B00101,U0842,S070,Pedicure,Morning,8.1,3.3
B00102,U0685,S065,Spa,Weekend,10.4,4.4
B00103,U0767,S087,Coloring,Evening,12.4,3.6
B00104,U0649,S059,Coloring,Afternoon,2.7,3.9
B00105,U0130,S085,Spa,Afternoon,2.5,4.3
B00106,U0069,S023,Coloring,Morning,2.1,5
B00107,U0557,S083,Pedicure,Morning,3.5,3.3
B00108,U0332,S036,Manicure,Afternoon,1.5,4.2
B00109,U0420,S005,Spa,Afternoon,8.9,4.7
B00110,U0899,S012,Manicure,Evening,6.7,3.7
B00111,U0637,S090,Pedicure,Weekend,13.9,4.6
B00112,U0090,S049,Pedicure,Evening,2.8,3.1
B00113,U0673,S082,Manicure,Morning,8.7,4.8
B00114,U0447,S077,Pedicure,Morning,9.4,4.8
B00115,U0492,S014,Haircut,Evening,2.6,3.9
B00116,U0023,S060,Spa,Weekend,6.7,4.8
B00117,U0991,S019,Spa,Evening,2.6,4.5
B00118,U0423,S009,Manicure,Afternoon,5.7,4.3
B00119,U0913,S027,Manicure,Weekend,2.5,3.7
B00120,U0297,S066,Manicure,Afternoon,2.1,2.9
B00121,U0712,S003,Pedicure,Weekend,4.4,4.4
B00122,U0489,S058,Pedicure,Evening,2.5,3.3
B00123,U0016,S071,Pedicure,Weekend,13.8,2.3
B00124,U0297,S010,Manicure,Afternoon,2.3,4.1
B00125,U0928,S091,Manicure,Morning,7.5,5
B00126,U0900,S011,Coloring,Morning,1.8,3.6
B00127,U0955,S056,Coloring,Weekend,2.1,3.6
B00128,U0652,S039,Coloring,Evening,1.6,4.4
B00129,U0291,S100,Pedicure,Afternoon,14.1,4.5
B00130,U0050,S042,Haircut,Morning,13,3.3
B00131,U0754,S038,Spa,Weekend,1.5,3.3
B00132,U0745,S050,Spa,Evening,7.9,3.5
B00133,U0540,S022,Pedicure,Evening,7.3,3
B00134,U0010,S007,Manicure,Weekend,1.3,3.9
B00135,U0836,S079,Pedicure,Afternoon,2.7,4.6
B00136,U0853,S035,Coloring,Weekend,6.1,3.3
B00137,U0164,S056,Haircut,Weekend,11.6,3.8
B00138,U0425,S011,Coloring,Evening,14.8,4
B00139,U0813,S021,Haircut,Afternoon,13.5,4
B00140,U0601,S049,Haircut,Morning,6.1,2.6
B00141,U0437,S034,Spa,Morning,6.2,5
B00142,U0017,S053,Manicure,Evening,4.8,4.6
B00143,U0578,S050,Haircut,Afternoon,2.1,2.8
B00144,U0123,S010,Coloring,Evening,1.3,3.8
B00145,U0015,S084,Coloring,Weekend,10.4,3.1
B00146,U0981,S026,Haircut,Morning,1.6,4.2
B00147,U0069,S047,Coloring,Weekend,2.2,4.8
B00148,U0253,S099,Manicure,Morning,2.6,3.2
B00149,U0784,S040,Pedicure,Morning,11.8,4.3
B00150,U0985,S025,Haircut,Afternoon,1.4,2.9
B00151,U0892,S024,Coloring,Weekend,10.2,4.8
B00152,U0228,S058,Manicure,Morning,1.7,2.9
B00153,U0063,S062,Pedicure,Weekend,2,2.5
B00154,U0035,S058,Manicure,Afternoon,14.6,2.1
B00155,U0439,S003,Coloring,Evening,8.5,3.4
B00156,U0781,S094,Haircut,Evening,9.3,4.4
B00157,U0649,S002,Haircut,Afternoon,0.9,3.5
B00158,U0615,S063,Pedicure,Evening,10.2,3.9
B00159,U0364,S028,Pedicure,Evening,2.4,4.9
B00160,U0465,S076,Coloring,Weekend,2.8,4.6
B00161,U0908,S098,Haircut,Morning,6.8,4
B00162,U0635,S071,Pedicure,Weekend,1.5,2.8
B00163,U0846,S088,Manicure,Weekend,7.7,3.3
B00164,U0451,S002,Haircut,Weekend,12.7,3.7
B00165,U0839,S009,Haircut,Morning,14.4,3.2
B00166,U0746,S078,Spa,Evening,0.6,4.7
B00167,U0271,S071,Pedicure,Morning,2.1,3.1
B00168,U0159,S007,Coloring,Afternoon,2.2,4.2
B00169,U0010,S006,Pedicure,Afternoon,14.9,3.4
B00170,U0335,S079,Manicure,Morning,9.8,3.9
B00171,U0749,S086,Manicure,Morning,13.8,4.3
B00172,U0445,S094,Haircut,Evening,0.9,4.4
B00173,U0153,S077,Coloring,Weekend,10.7,5
B00174,U0830,S027,Haircut,Weekend,0.7,4.9
B00175,U0460,S032,Coloring,Weekend,7.5,3.5
B00176,U0082,S010,Manicure,Weekend,5.3,4.7
B00177,U0323,S002,Haircut,Morning,10.5,2.8
B00178,U0058,S058,Manicure,Weekend,6.3,3.2
B00179,U0498,S043,Pedicure,Morning,11.8,3.6
B00180,U0233,S057,Haircut,Morning,1.2,3.9
B00181,U0601,S057,Haircut,Morning,9,3.6
B00182,U0229,S065,Spa,Weekend,9.9,4.5
B00183,U0050,S010,Pedicure,Evening,6.7,4
B00184,U0211,S085,Manicure,Morning,4.5,3.6
B00185,U0547,S014,Haircut,Morning,3.2,5
B00186,U0950,S043,Pedicure,Evening,2.8,3.5
B00187,U0324,S029,Manicure,Evening,12.3,2.3
B00188,U0641,S100,Coloring,Morning,6,3.5
B00189,U0991,S048,Spa,Evening,2,4.1
B00190,U0212,S010,Manicure,Weekend,14.6,4.1
B00191,U0085,S080,Manicure,Weekend,4.9,4.5
B00192,U0657,S013,Manicure,Morning,12.4,4.3
B00193,U0337,S069,Haircut,Evening,13.3,3.3
B00194,U0217,S079,Pedicure,Morning,2.8,4
B00195,U0223,S068,Haircut,Evening,8.7,4.5
B00196,U0546,S004,Spa,Evening,13.9,2.6
B00197,U0946,S021,Coloring,Weekend,8.2,5
B00198,U0590,S076,Spa,Morning,2,4.3
B00199,U0198,S048,Haircut,Afternoon,2.3,4.4
B00200,U0955,S063,Coloring,Weekend,4.8,4.3
B00201,U0748,S020,Coloring,Evening,7.1,3.7
B00202,U0552,S048,Spa,Weekend,12,3.6
B00203,U0911,S061,Manicure,Afternoon,7.2,3.8
B00204,U0218,S068,Manicure,Morning,1.1,3.3
B00205,U0974,S088,Coloring,Morning,8.1,2.2
B00206,U0108,S084,Coloring,Morning,8.2,3.7
B00207,U0110,S051,Spa,Afternoon,8.7,5
B00208,U0798,S084,Coloring,Morning,14,2.4
B00209,U0602,S079,Manicure,Afternoon,13,4.7
B00210,U0252,S052,Manicure,Morning,1.8,5
B00211,U0647,S012,Haircut,Evening,7.7,4.2
B00212,U0358,S072,Coloring,Morning,8.2,3.7
B00213,U0956,S070,Spa,Evening,9.6,4.4
B00214,U0150,S054,Haircut,Morning,10.9,3.8
B00215,U0011,S015,Spa,Morning,8.5,4.5
B00216,U0911,S084,Coloring,Evening,9,2.4
B00217,U0256,S091,Manicure,Afternoon,6.4,4.5
B00218,U0542,S053,Manicure,Afternoon,5.3,3.4
B00219,U0228,S045,Pedicure,Morning,10.4,4.2
B00220,U0104,S082,Manicure,Weekend,6.6,5
B00221,U0252,S083,Manicure,Evening,8.4,3.2
B00222,U0466,S002,Haircut,Afternoon,3.4,3.1
B00223,U0147,S070,Manicure,Morning,1.6,3.4
B00224,U0667,S021,Manicure,Afternoon,7.7,4.8
B00225,U0717,S055,Spa,Weekend,4.8,4.5
B00226,U0443,S039,Coloring,Weekend,10.8,4.8
B00227,U0280,S007,Haircut,Evening,11.7,5
B00228,U0920,S014,Haircut,Afternoon,1.8,4.2
B00229,U0109,S048,Haircut,Weekend,13.2,4.5
B00230,U0401,S082,Coloring,Weekend,11.3,5
B00231,U0097,S100,Coloring,Afternoon,1.8,3.8
B00232,U0567,S042,Pedicure,Morning,2.1,4.4
B00233,U0520,S044,Haircut,Afternoon,7.2,2.6
B00234,U0458,S071,Haircut,Weekend,4.9,3.1
B00235,U0294,S093,Spa,Evening,13.7,3
B00236,U0554,S070,Coloring,Weekend,1.1,3.9
B00237,U0890,S008,Spa,Weekend,2.5,4.8
B00238,U0166,S081,Manicure,Evening,13.9,4.7
B00239,U0613,S062,Pedicure,Evening,4.3,3.4
B00240,U0611,S046,Haircut,Afternoon,4.9,3.2
B00241,U0811,S049,Haircut,Morning,7,3.4
B00242,U0228,S040,Manicure,Morning,7.7,3.5
B00243,U0634,S040,Pedicure,Evening,9.9,3.5
B00244,U0533,S075,Spa,Morning,3.8,4.2
B00245,U0691,S034,Coloring,Morning,0.5,5
B00246,U0944,S040,Manicure,Evening,1.4,2.9
B00247,U0959,S042,Coloring,Weekend,6.6,3.5
B00248,U0668,S070,Manicure,Morning,11.8,4.5
B00249,U0235,S037,Spa,Evening,3.4,3.7
B00250,U0955,S004,Spa,Weekend,4.2,3.6
B00251,U0789,S041,Coloring,Weekend,2.5,4
B00252,U0148,S059,Manicure,Morning,3.7,3.3
B00253,U0500,S072,Coloring,Weekend,14.8,4.6
B00254,U0344,S086,Manicure,Afternoon,13,5
B00255,U0824,S045,Pedicure,Morning,2.9,3.2
B00256,U0370,S044,Coloring,Evening,2.5,3.3
B00257,U0400,S086,Manicure,Morning,3,4.6
B00258,U0098,S086,Spa,Afternoon,12,5
B00259,U0075,S079,Pedicure,Weekend,14.1,4
B00260,U0975,S015,Coloring,Afternoon,1.1,4.2
B00261,U0742,S030,Haircut,Morning,5.4,3.6
B00262,U0933,S045,Pedicure,Weekend,8.5,3.9
B00263,U0326,S048,Spa,Weekend,8.6,4.4
B00264,U0383,S027,Manicure,Morning,2.4,4.6
B00265,U0857,S096,Pedicure,Weekend,13.7,3.5
B00266,U0429,S033,Haircut,Afternoon,13,4.8
B00267,U0475,S100,Pedicure,Weekend,5,4.3
B00268,U0050,S005,Haircut,Morning,14.3,4.6
B00269,U0429,S001,Spa,Evening,11.3,4.5
B00270,U0140,S018,Manicure,Weekend,7.8,4.4
B00271,U0249,S064,Haircut,Evening,3.3,3
B00272,U0431,S079,Haircut,Afternoon,2.8,4
B00273,U0501,S083,Pedicure,Evening,2.3,2.6
B00274,U0999,S034,Manicure,Afternoon,7,5
B00275,U0890,S015,Spa,Weekend,5.2,4.7
B00276,U0956,S053,Manicure,Evening,8.2,4.1
B00277,U0189,S089,Haircut,Weekend,7.7,2.8
B00278,U0909,S081,Manicure,Afternoon,3.4,4.6
B00279,U0208,S005,Coloring,Morning,2.7,3.8
B00280,U0536,S016,Spa,Weekend,12.4,4.6
B00281,U0303,S015,Spa,Evening,2.2,5
B00282,U0131,S042,Coloring,Evening,2.8,3.2
B00283,U0482,S007,Haircut,Afternoon,1.5,4
B00284,U0502,S017,Manicure,Afternoon,2.3,2.9
B00285,U0002,S069,Manicure,Evening,7.2,3
B00286,U0004,S072,Coloring,Weekend,3.3,5
B00287,U0321,S007,Haircut,Morning,2.6,4
B00288,U0764,S006,Haircut,Evening,1.5,3.5
B00289,U0602,S080,Manicure,Morning,5.2,4.2
B00290,U0426,S085,Spa,Evening,11.6,3.3
B00291,U0397,S032,Haircut,Morning,1.4,3.4
B00292,U0468,S086,Spa,Evening,1.6,4.5
B00293,U0676,S015,Spa,Afternoon,1.7,5
B00294,U0469,S025,Haircut,Afternoon,8.3,4.1
B00295,U0751,S090,Haircut,Evening,2.2,3.9
B00296,U0070,S083,Pedicure,Evening,2.9,2.5
B00297,U0252,S069,Manicure,Evening,2.3,3.8
B00298,U0074,S099,Coloring,Morning,1.3,3
B00299,U0341,S070,Spa,Weekend,13,4.1
B00300,U0310,S097,Spa,Morning,11.6,3.2
B00301,U0303,S092,Coloring,Evening,11.5,2.5
B00302,U0847,S046,Haircut,Morning,10.8,4.1
B00303,U0134,S097,Spa,Weekend,1.3,4.2
B00304,U0376,S078,Spa,Weekend,9.5,4.7
B00305,U0824,S001,Haircut,Morning,1.1,3.5
B00306,U0270,S009,Manicure,Evening,12.3,4.4
B00307,U0492,S070,Spa,Evening,2.7,4.2
B00308,U0175,S033,Haircut,Evening,12.1,3.8
B00309,U0282,S044,Pedicure,Morning,1.8,2.8
B00310,U0333,S062,Pedicure,Afternoon,10.4,3.5
B00311,U0958,S022,Coloring,Evening,12.2,3.8
B00312,U0094,S030,Haircut,Afternoon,10.6,4.6
B00313,U0510,S010,Manicure,Evening,1.8,3.2
B00314,U0688,S047,Coloring,Weekend,6.3,4.7
B00315,U0436,S061,Manicure,Morning,14,4.3
B00316,U0331,S071,Haircut,Evening,13.1,2.7
B00317,U0352,S024,Coloring,Evening,13.3,3.8
B00318,U0835,S040,Manicure,Morning,12.2,3
B00319,U0983,S033,Pedicure,Weekend,5.4,3.5
B00320,U0634,S082,Coloring,Evening,6.1,4.9
B00321,U0130,S048,Spa,Evening,7.5,4
B00322,U0414,S055,Spa,Morning,6.7,4.7
B00323,U0662,S023,Coloring,Weekend,2.4,4.2
B00324,U0276,S066,Pedicure,Weekend,9.5,3.8
B00325,U0732,S047,Coloring,Afternoon,3,4.9
B00326,U0477,S029,Coloring,Evening,14.5,2.9
B00327,U0670,S082,Spa,Weekend,3.5,4.9
B00328,U0348,S054,Coloring,Afternoon,0.7,3.6
B00329,U0582,S059,Manicure,Evening,1.4,4
B00330,U0536,S012,Manicure,Weekend,4.6,2.9
B00331,U0462,S063,Pedicure,Morning,11.5,3.9
B00332,U0803,S020,Haircut,Afternoon,5,5
B00333,U0455,S013,Manicure,Morning,5.7,3.8
B00334,U0216,S074,Spa,Afternoon,4.9,3.7
B00335,U0947,S017,Manicure,Weekend,12.5,2.8
B00336,U0473,S092,Coloring,Afternoon,14.7,3.1
B00337,U0965,S051,Spa,Morning,2.5,4.5
B00338,U0595,S083,Coloring,Weekend,1.8,3.5
B00339,U0289,S015,Spa,Afternoon,5.7,4.5
B00340,U0850,S079,Haircut,Morning,7.5,3.9
B00341,U0608,S091,Pedicure,Morning,11.8,5
B00342,U0849,S010,Coloring,Evening,1.9,3.7
B00343,U0129,S065,Spa,Evening,14.8,5
B00344,U0546,S042,Spa,Morning,5.4,4.2
B00345,U0141,S018,Coloring,Evening,10.1,4.8
B00346,U0429,S034,Spa,Evening,3,4.4
B00347,U0665,S027,Haircut,Weekend,13.1,4.2
B00348,U0052,S098,Coloring,Evening,2.9,4.6
B00349,U0535,S034,Coloring,Weekend,2.2,3.9
B00350,U0998,S088,Manicure,Evening,2.1,2.4
B00351,U0921,S015,Spa,Evening,2.6,4.5
B00352,U0066,S010,Manicure,Afternoon,13,3.6
B00353,U0410,S077,Manicure,Weekend,12.5,4
B00354,U0652,S077,Coloring,Morning,12.8,3.9
B00355,U0396,S024,Manicure,Weekend,5.7,4.8
B00356,U0970,S058,Pedicure,Weekend,0.9,3
B00357,U0138,S089,Haircut,Afternoon,3.8,3.1
B00358,U0718,S010,Pedicure,Evening,10.5,4.1
B00359,U0225,S062,Pedicure,Morning,8.9,2.6
B00360,U0352,S022,Spa,Morning,3.5,3.1
B00361,U0451,S080,Manicure,Weekend,9.8,3.8
B00362,U0793,S026,Coloring,Evening,7.5,3.1
B00363,U0158,S084,Coloring,Weekend,12.1,3.2
B00364,U0890,S032,Spa,Afternoon,10.9,2.8
B00365,U0520,S031,Haircut,Afternoon,11.6,3.7
B00366,U0384,S036,Pedicure,Evening,8.8,4.6
B00367,U0632,S045,Pedicure,Weekend,6.4,3.4
B00368,U0629,S009,Spa,Morning,1.4,4.1
B00369,U0246,S093,Spa,Evening,13.1,3.2
B00370,U0758,S070,Spa,Afternoon,1.6,3.6
B00371,U0463,S059,Coloring,Weekend,5.9,3.2
B00372,U0121,S082,Manicure,Weekend,8.9,5
B00373,U0001,S061,Manicure,Weekend,11,3.9
B00374,U0316,S042,Pedicure,Afternoon,2.7,4.2
B00375,U0185,S047,Coloring,Weekend,5.7,3.8
B00376,U0161,S073,Spa,Afternoon,1.6,2.5
B00377,U0549,S020,Haircut,Morning,5.3,5
B00378,U0626,S047,Coloring,Morning,8,4
B00379,U0199,S042,Spa,Evening,6.2,3.1
B00380,U0320,S050,Haircut,Morning,4,2.9
B00381,U0489,S011,Coloring,Evening,2.4,4
B00382,U0259,S086,Spa,Morning,13,4.4
B00383,U0206,S049,Pedicure,Weekend,4.7,2.8
B00384,U0053,S010,Manicure,Weekend,11.4,4.6
B00385,U0206,S052,Manicure,Weekend,10.7,4.8
B00386,U0068,S093,Haircut,Morning,1.2,3.5
B00387,U0690,S017,Haircut,Weekend,8.8,2.5
B00388,U0249,S060,Spa,Morning,4.6,4.5
B00389,U0371,S100,Pedicure,Evening,3.7,4.7
B00390,U0954,S062,Pedicure,Morning,2.1,3.5
B00391,U0483,S091,Manicure,Weekend,13.1,5
B00392,U0355,S065,Spa,Afternoon,2.5,4.7
B00393,U0309,S091,Manicure,Weekend,4.8,4.9
B00394,U0838,S082,Manicure,Weekend,10.1,4.7
B00395,U0558,S023,Coloring,Evening,6.1,5
B00396,U0986,S055,Pedicure,Morning,1.1,3.9
B00397,U0874,S077,Manicure,Morning,1.9,4.3
B00398,U0914,S004,Spa,Evening,2.9,3.6
B00399,U0403,S040,Manicure,Afternoon,12.4,3
B00400,U0990,S021,Manicure,Weekend,10.4,5
B00401,U0094,S064,Haircut,Afternoon,2.8,2.5
B00402,U0451,S010,Coloring,Weekend,12.2,4.4
B00403,U0004,S054,Spa,Weekend,13.6,3.5
B00404,U0124,S045,Pedicure,Evening,11.2,2.8
B00405,U0709,S020,Coloring,Weekend,14.5,4.2
B00406,U0350,S051,Spa,Evening,1.3,4.9
B00407,U0928,S012,Manicure,Evening,12.5,3.8
B00408,U0940,S089,Pedicure,Afternoon,14.5,2.6
B00409,U0462,S056,Haircut,Morning,11.7,3.3
B00410,U0670,S077,Spa,Evening,13.4,5
B00411,U0942,S015,Coloring,Afternoon,0.8,3.9
B00412,U0622,S029,Manicure,Weekend,2,2.3
B00413,U0430,S033,Haircut,Weekend,8.7,4.5
B00414,U0884,S051,Spa,Afternoon,9.1,5
B00415,U0162,S024,Manicure,Evening,2.6,4.6
B00416,U0516,S016,Spa,Afternoon,11.4,5
B00417,U0104,S048,Spa,Weekend,10.1,4.1
B00418,U0885,S044,Haircut,Afternoon,2.9,3.1
B00419,U0872,S062,Pedicure,Morning,9.2,2.2
B00420,U0506,S027,Coloring,Weekend,2.2,4.1
B00421,U0864,S009,Manicure,Afternoon,13.4,3.1
B00422,U0418,S033,Haircut,Weekend,2.9,3.4
B00423,U0079,S005,Spa,Weekend,11.4,4.7
B00424,U0737,S043,Pedicure,Evening,10.3,3.9
B00425,U0059,S024,Coloring,Morning,1,5
B00426,U0896,S051,Spa,Evening,12.3,4.8
B00427,U0121,S099,Manicure,Afternoon,11.6,4.1
B00428,U0409,S034,Manicure,Afternoon,4,4.2
B00429,U0271,S087,Coloring,Morning,2.5,3.5
B00430,U0443,S100,Coloring,Weekend,9.6,4.3
B00431,U0513,S100,Coloring,Afternoon,7.7,4.6
B00432,U0912,S085,Coloring,Evening,14.3,3.7
B00433,U0984,S031,Haircut,Evening,11.4,4.6
B00434,U0733,S032,Haircut,Evening,4,2.6
B00435,U0042,S048,Haircut,Morning,9.1,3.9
B00436,U0799,S057,Haircut,Weekend,0.5,4.6
B00437,U0051,S001,Spa,Evening,12.3,3.5
B00438,U0300,S095,Manicure,Evening,8.4,4.8
B00439,U0627,S071,Pedicure,Morning,1.9,3.5
B00440,U0008,S001,Coloring,Afternoon,4.2,4.3
B00441,U0768,S087,Coloring,Morning,2.2,3.9
B00442,U0415,S017,Haircut,Morning,14.1,3.2
B00443,U0181,S026,Spa,Evening,5.9,4.2
B00444,U0266,S003,Coloring,Afternoon,11.2,4.2
B00445,U0510,S050,Haircut,Evening,3.7,2.9
B00446,U0701,S032,Haircut,Evening,1.7,3.4
B00447,U0034,S050,Spa,Evening,1.3,3.1
B00448,U0533,S034,Manicure,Afternoon,2.3,5
B00449,U0224,S064,Haircut,Evening,12,2.3
B00450,U0616,S068,Pedicure,Evening,14.5,4.4
B00451,U0166,S061,Manicure,Evening,11.4,3.7
B00452,U0771,S100,Coloring,Afternoon,13.1,4.3
B00453,U0597,S027,Spa,Afternoon,1.3,4.1
B00454,U0703,S058,Manicure,Morning,10.7,3.1
B00455,U0479,S068,Pedicure,Weekend,12.9,3.7
B00456,U0246,S084,Coloring,Evening,11.9,3.7
B00457,U0398,S029,Coloring,Evening,3.4,2.6
B00458,U0508,S054,Spa,Weekend,10,4.2
B00459,U0134,S041,Pedicure,Morning,0.9,4.8
B00460,U0739,S074,Spa,Afternoon,1.7,3.3
B00461,U0376,S029,Pedicure,Weekend,7.5,2.8
B00462,U0994,S017,Haircut,Morning,7,2.4
B00463,U0938,S068,Coloring,Weekend,3.5,4.7
B00464,U0774,S035,Coloring,Morning,4,4
B00465,U0008,S085,Coloring,Evening,3.6,4.3
B00466,U0705,S056,Haircut,Evening,4.7,3.8
B00467,U0726,S074,Spa,Morning,10.1,3.7
B00468,U0725,S014,Haircut,Evening,1.6,5
B00469,U0313,S082,Manicure,Weekend,14.1,4.2
B00470,U0993,S064,Haircut,Afternoon,5.5,2.3
B00471,U0474,S092,Haircut,Weekend,6.7,3.1
B00472,U0815,S093,Coloring,Weekend,9.3,2.7
B00473,U0864,S067,Spa,Afternoon,3.5,4.4
B00474,U0406,S006,Haircut,Morning,1.3,2.8
B00475,U0302,S057,Haircut,Morning,1.8,3.9
B00476,U0204,S029,Pedicure,Evening,13.5,3
B00477,U0367,S038,Haircut,Weekend,14.4,4.5
B00478,U0397,S091,Haircut,Afternoon,1.4,5
B00479,U0310,S020,Haircut,Weekend,6.8,4.6
B00480,U0660,S087,Coloring,Evening,8.4,3.2
B00481,U0220,S033,Pedicure,Evening,1.8,3.9
B00482,U0958,S090,Haircut,Afternoon,8.7,4.3
B00483,U0238,S014,Haircut,Weekend,8.8,4.5
B00484,U0149,S042,Manicure,Afternoon,7,3.2
B00485,U0170,S063,Coloring,Afternoon,1.6,4.6
B00486,U0749,S089,Haircut,Morning,2.4,3.8
B00487,U0311,S068,Spa,Evening,12.8,4.3
B00488,U0926,S040,Manicure,Morning,14.5,4.1
B00489,U0558,S023,Coloring,Evening,2.6,5
B00490,U0209,S003,Coloring,Afternoon,1.4,4
B00491,U0683,S002,Haircut,Afternoon,2.9,2.6
B00492,U0539,S069,Manicure,Morning,14,3.6
B00493,U0958,S067,Spa,Morning,6,4.3
B00494,U0404,S023,Coloring,Weekend,12.9,4.2
